College,Program name,Program name_link,Credential awarded,Duration,IELTS,Duolingo Language Test,Pearson Test of English (PTE),Canadian Academic English Language Test (CAEL),Cambridge English Exams
george brown college,Business – Accounting (B103),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-accounting-program-b103?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Business Administration – Accounting (B107),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-accounting-program-b107?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business Administration – Accounting (with work experience) (B157),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-accounting-program-with-work-experience-b157?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business Administration – Finance (B130),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-finance-program-b130?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business Administration – Finance (with work experience) (B150),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-finance-program-with-work-experience-b150?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business – Finance (B133),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-finance-program-b133?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Financial Planning (Postgraduate) (B407),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/financial-planning-program-postgraduate-b407?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Honours Bachelor of Commerce (Financial Services) (B302),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-commerce-financial-services-program-b302?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,Business Administration – Human Resources (B144),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-human-resources-program-b144?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business Administration – Human Resources (with work experience) (B154),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-human-resources-program-with-work-experience-b154?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
